solution 1700 [ fit.: 0.684125, part.: (0.664052, 0.692549, 0.695773, ), spec.: 0, adj.fit.: 0.006841, age: 0, parents (1614, 1648), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1701 [ fit.: 0.684502, part.: (0.665104, 0.693100, 0.695302, ), spec.: 0, adj.fit.: 0.006845, age: 0, parents (1645, 1684), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1702 [ fit.: 0.680523, part.: (0.664767, 0.686442, 0.690361, ), spec.: 0, adj.fit.: 0.006805, age: 0, parents (1686, 1641), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1703 [ fit.: 0.684117, part.: (0.664091, 0.692617, 0.695643, ), spec.: 0, adj.fit.: 0.006841, age: 0, parents (1645, 1603), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1704 [ fit.: 0.684451, part.: (0.665068, 0.691886, 0.696400, ), spec.: 0, adj.fit.: 0.006845, age: 0, parents (1631, 1648), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1705 [ fit.: 0.679879, part.: (0.663025, 0.686486, 0.690128, ), spec.: 0, adj.fit.: 0.006799, age: 0, parents (1605, 1625), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1706 [ fit.: 0.684388, part.: (0.664446, 0.692925, 0.695793, ), spec.: 0, adj.fit.: 0.006844, age: 0, parents (1691, 1651), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1707 [ fit.: 0.680006, part.: (0.664877, 0.685927, 0.689215, ), spec.: 0, adj.fit.: 0.006800, age: 0, parents (1608, 1640), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1708 [ fit.: 0.684005, part.: (0.663359, 0.692549, 0.696106, ), spec.: 0, adj.fit.: 0.006840, age: 0, parents (1664, 1641), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1709 [ fit.: 0.680585, part.: (0.665282, 0.686951, 0.689521, ), spec.: 0, adj.fit.: 0.006806, age: 0, parents (1695, 1649), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1710 [ fit.: 0.684258, part.: (0.664436, 0.693237, 0.695100, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1616, 1634), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1711 [ fit.: 0.682647, part.: (0.665473, 0.690302, 0.692166, ), spec.: 0, adj.fit.: 0.006826, age: 0, parents (1625, 1659), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1712 [ fit.: 0.684287, part.: (0.665615, 0.691431, 0.695814, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1658, 1615), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1713 [ fit.: 0.683828, part.: (0.663859, 0.692862, 0.694762, ), spec.: 0, adj.fit.: 0.006838, age: 0, parents (1676, 1677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1714 [ fit.: 0.683929, part.: (0.665024, 0.692192, 0.694572, ), spec.: 0, adj.fit.: 0.006839, age: 0, parents (1605, 1609), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1715 [ fit.: 0.684300, part.: (0.664730, 0.692757, 0.695413, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1607, 1684), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1716 [ fit.: 0.684313, part.: (0.664826, 0.692135, 0.695980, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1674, 1681), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
